epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4246,2.63879,7.24359,3.133,0.00321,0.5,0.01233,0.00664,2.69734,10.2991,3.33663,0,0,0
2,55.7137,3.16103,9.68312,3.42791,0.00334,0.5,0.01388,0.00722,2.56682,11.1046,3.30437,1.63399e-05,1.63399e-05,1.63399e-05
3,64.5755,3.28182,7.32738,3.26692,0.00352,0.5,0.01858,0.00946,2.67284,11.0866,3.31291,3.20197e-05,3.20197e-05,3.20197e-05
4,77.6343,3.0615,6.91821,3.53945,0.00403,0.5,0.02853,0.01351,2.75196,11.7709,3.33541,4.70394e-05,4.70394e-05,4.70394e-05
5,87.2214,3.06329,5.83567,3.48332,0.0101,1,0.02536,0.01256,2.61696,14.7068,3.26871,6.13989e-05,6.13989e-05,6.13989e-05
6,95.7681,2.13144,6.00662,2.37988,0.00633,0.5,0.02314,0.00704,2.65656,19.0002,3.23108,7.50984e-05,7.50984e-05,7.50984e-05
7,103.055,2.70862,4.41539,2.6923,0.00676,0.5,0.0194,0.00194,2.82096,17.4016,3.31618,8.81376e-05,8.81376e-05,8.81376e-05
8,110.655,2.9035,6.30473,2.73518,0.01031,1,0.01684,0.00384,2.88054,16.6473,3.48288,0.000100517,0.000100517,0.000100517
9,118.218,2.36754,3.58004,2.55918,0.0084,1,0.02501,0.005,2.97605,16.5464,3.52622,0.000112236,0.000112236,0.000112236
10,125.79,2.33662,4.29308,2.3814,0.00891,0.5,0.02566,0.00513,3.22203,15.5319,3.58472,0.000123295,0.000123295,0.000123295
11,133.573,2.38434,3.44878,2.51644,0.00775,0.5,0.02014,0.00528,3.30522,11.4967,3.51166,0.000133693,0.000133693,0.000133693
12,141.536,2.75054,4.09285,2.45022,0.00651,1,0.01131,0.00342,3.18116,11.9725,3.15272,0.000143432,0.000143432,0.000143432
13,149.393,2.30902,4.41275,2.30551,0.00612,1,0.01887,0.00385,3.12547,10.7929,2.97534,0.00015251,0.00015251,0.00015251
14,157.384,1.84901,3.22296,1.8064,0.00597,1,0.01112,0.00293,2.94913,9.42887,2.68913,0.000160929,0.000160929,0.000160929
15,164.445,2.216,5.72228,2.23789,0.0066,1,0.00718,0.0016,2.76747,9.03994,2.59689,0.000168687,0.000168687,0.000168687
16,171.585,1.76443,3.22915,1.79135,0.0036,0.5,0.00313,0.00125,2.44427,9.59314,2.68527,0.000175785,0.000175785,0.000175785
17,178.551,1.89623,2.61088,1.71109,0.00365,0.5,0.00428,0.0019,2.86506,8.12033,2.96504,0.000182223,0.000182223,0.000182223
18,185.146,1.64403,3.02757,1.65045,0.00365,0.5,0.00428,0.0019,2.86506,8.12033,2.96504,0.000188001,0.000188001,0.000188001
19,192.017,1.32926,1.97121,1.41446,0.00394,0.5,0.00638,0.00319,2.92917,7.81278,3.07983,0.000193119,0.000193119,0.000193119
